id,title,type,description,release_year,imdb_id,imdb_score,imdb_votes
tm190486,Teenage Mutant Ninja Turtles III,MOVIE,"The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in an uprising.",1993,tt0108308,4.7,33128.0
tm61103,The General's Daughter,MOVIE,"When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.",1999,tt0144214,6.4,58726.0
tm117488,The Next Karate Kid,MOVIE,"Mr. Miyagi decides to take Julie, a troubled teenager, under his wing after he learns that she blames herself for her parents' demise and struggles to adjust with her grandmother and fellow pupils.",1994,tt0110657,4.5,30138.0
tm55732,I Still Know What You Did Last Summer,MOVIE,"Ever since killing the Fisherman one year ago, Julie James is still haunted by images of him after her. When her best friend Karla wins free tickets to the Bahamas, Julie finds this a perfect opportunity to finally relax. But someone is waiting for her. Someone who she thought was dead. Someone who is out again for revenge.",1998,tt0130018,4.7,73269.0
tm191431,Double Team,MOVIE,He's a one-man arsenal... with enough voltage to rock the free world. They Don't Play by the Rules. You're either on their side...or in their way. America's top counter-terrorist usually works alone...this time he's got company.,1997,tt0119013,4.7,34127.0
ts20939,Moesha,SHOW,"Moesha was an American sitcom series that aired on the UPN network from January 23, 1996 to May 14, 2001. The series stars R&B singer Brandy Norwood as Moesha Mitchell, a high school student living with her family in the Leimert Park neighborhood of South Central Los Angeles. It was originally ordered as a pilot for the CBS network's 1995-1996 television season, who rejected. It was then picked up by UPN, who aired it as a mid-season replacement. It went on to become the biggest success for the nascent network and one of the greatest hits over the course of the network's entire run.",1996,tt0115275,5.7,3713.0
ts21693,"Sister, Sister",SHOW,"Twins Tia Landry and Tamera Campbell were separated and adopted at birth. Fourteen years later, they encounter each other by chance at the mall. After the families meet, Tia's widowed father agrees to let Tamera and her single mother move in with them.",1994,tt0108927,6.2,12535.0
ts22286,Cardcaptor Sakura,SHOW,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",1998,tt0221735,8.0,4936.0
tm190811,Geronimo: An American Legend,MOVIE,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, while reclaiming what is rightfully theirs.",1993,tt0107004,6.5,11506.0
tm107659,The Mirror Has Two Faces,MOVIE,"Rose Morgan, who still lives with her mother, is a professor of Romantic Literature who desperately longs for passion in her life. Gregory Larkin, a mathematics professor, has been burned by passionate relationships and longs for a sexless union based on friendship and respect.",1996,tt0117057,6.6,19829.0
tm7073,Knight Rider 2000,MOVIE,"In the future, guns are banned and criminals are frozen for the duration of their sentences. A recent spate of killings involving handguns brings Michael Knight back to fight for justice, but he insists of the help of KITT, his artificially-intelligent car from decades ago. The only problem is that KITT has been deactivated.",1991,tt0102227,4.5,3178.0
tm63514,The Last Days,MOVIE,"Five Jewish Hungarians, now U.S. citizens, tell their stories: before March, 1944, when Nazis began to exterminate Hungarian Jews, months in concentration camps, and visiting childhood homes more than 50 years later. An historian, a Sonderkommando, a doctor who experimented on Auschwitz prisoners, and US soldiers who were part of the liberation in April, 1945.",1998,tt0174852,7.9,4247.0
ts20918,The Parkers,SHOW,"The Parkers is an American sitcom that aired on UPN from August 30, 1999, to May 10, 2004. A spin-off of UPN's Moesha, The Parkers features the mother-daughter team of Nikki and Kim Parker. The Parkers' signature ""Heeyyy"" greeting became very popular in the early 2000s.",1999,tt0200353,6.8,2346.0
tm10811,Heavy,MOVIE,"Victor is a cook who works in a greasy bar/restaurant owned by his mother, Dolly. It's just the two of them, a waitress named Delores, and a heavy drinking regular, Leo. But things change when Callie, a beautiful college drop-out, shows up as a new waitress and steals Victor's heart. But Victor is too shy to do anything about it, and too self-consciously overweight to dream of winning Callie away.",1995,tt0113280,6.8,4921.0
tm188970,Bill Hicks: Revelations,MOVIE,"Bill Hicks in the height of his genius. Recorded at the Dominion Theatre in London, Hicks opens our eyes and minds to the hypocrisy and ludicrousness of the world around us.",1993,tt0152183,8.5,3085.0
tm188606,Sankofa,MOVIE,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",1993,tt0108041,7.0,678.0
ts18465,Dale's Supermarket Sweep,SHOW,Dale's Supermarket Sweep was a UK game show based on the American Supermarket Sweep TV show format.,1993,tt0962853,7.1,39.0
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,"Taped for HBO in August 1998, on the final date of Jerry Seinfeld's tour appearances at New York City's Broadhurst Theater, I'm Telling You for the Last Time presents the standup comedian's so-called ""final"" standup, or at least his final tour with the standup material that made him famous.",1998,tt0500140,7.9,5834.0
tm320211,Children of God,MOVIE,"A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children.",1994,tt6051792,6.4,589.0
tm189171,Wild Tango,MOVIE,"A biopic based on the life of one of the pioneer argentine rock stars 'Tanguito'. The movie tells the story of his rise and fall from grace, encompassed in violent times of a military regime.",1993,tt0108291,6.7,1564.0
tm67635,Kuch Kuch Hota Hai,MOVIE,"Anjali is left heartbroken when her best friend and secret crush, Rahul, falls in love with Tina. Years later, Tina's young daughter tries to fulfil her mother's last wish of uniting Rahul and Anjali.",1998,tt0172684,7.6,51640.0
ts22080,Oggy and the Cockroaches,SHOW,"Oggy, an anthropomorphic cat, would prefer to spend his days watching television and eating, but is continuously pestered by three roaches: Joey, Marky and Dee Dee. The cockroaches' slapstick mischief ranges from plundering Oggy's refrigerator to hijacking the train he just boarded. In many situations Oggy is also helped by Jack, who is more violent and short-tempered than him and is also annoyed by the cockroaches. Bob, a short-tempered bulldog, also appears in the show, and is Oggy's neighbor.",1999,tt0213363,7.4,4185.0
ts22039,H,SHOW,"H is a French sitcom with seventy-one, 22-minute episodes. The series was created by Kader Aoun, Xavier Matthieu and Ãƒâ€°ric Judor, and produced by Phillippe Berthe, Ãƒâ€°douard Molinaro, Jean-Luc Moreau and Charles NÃƒÂ©mÃƒÂ¨s. It ran from 24 October 1998 to 20 April 2002 on Canal+. In Canada, it is shown weekly on TV5.

The title ""H"" comes from the three words that characterize the series: Humour, Histoire et HÃƒÂ´pital.",1998,tt0173554,7.4,1703.0
tm41525,Herod's Law,MOVIE,"Mexico, 1949. The fable of a janitor turned Mayor on a little town lost in the Mexican desert, who gradually realizes how far his new acquainted power and corruption can get him.",1999,tt0221344,7.8,5943.0
tm7951,Tim Allen: Rewires America,MOVIE,This is arguably Tim Allen's best stand-up show ever and this show truly solidified Tim Allen's unique slant on masculinity becoming the backbone for his TV show Ã¢â‚¬Å“Home Improvement.Ã¢â‚¬Â,1991,tt0294967,5.9,195.0
ts21684,Heartbreak High,SHOW,The ins and outs of the classroom lives of a group of students who attend the fictional Hartley High School in Sydney.,1994,tt0108800,7.8,3106.0
tm55100,Dil Se..,MOVIE,"Journalist Amar falls for a mysterious woman on an assignment, but she does not reciprocate his feelings. However, when Amar is about to get married, the woman shows up at his doorstep asking for help.",1998,tt0164538,7.5,28409.0
tm204173,Aashik Aawara,MOVIE,"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.",1993,tt0106206,4.7,320.0
tm191614,Destiny,MOVIE,"In the 12th century's Andalusia lives Ibn Rushd a prominent islamic philosopher with his wife Zeinab and daughter Sara. The principality is ruled by Khalifa ElMansour who has two sons, ElNasser, an intellectual that likes Ibn Rush and is in love with his daughter Sara. The younger son Abdallah is more into dancing and poetry, spending most of his times with the gypsy family and getting the daughter pregnant. The Khalifa is depending on the extremists to build his army granting them more power which they use to combat artists and philosophers. The extremists succeed in recruiting Abd Allah and train him to kill his father. Events go on where Marawan, the gypsy singer, is killed and Ibn Rushd's books are burnt. Adapted from the real life of Ibn Rushd AlMasir is Chahine's statement against extremism.",1997,tt0119629,7.1,2825.0
tm8859,Oh Darling! Yeh Hai India!,MOVIE,Miss India and an aspiring actor spend a night together roaming the streets of Mumbai and unwittingly clash paths with a megalomaniacal gangster planning to take over India.,1995,tt0114031,4.0,1678.0
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,"Ricky Bell, an all-pro running back with the Tampa Bay Buccaneers, who died of a rare muscle disease in the prime of his career. The plot centers on Bell's relationship with a father-less handicapped boy, and his efforts to be a big brother to him. The boy ends up being an inspiration for Bell when his disease makes the athlete more afflicted than the boy.",1991,tt0103123,7.2,248.0
tm12876,Bombay,MOVIE,"A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the family apart.",1995,tt0112553,8.1,12512.0
tm52083,West Beirut,MOVIE,"In April, 1975, civil war breaks out; Beirut is partitioned along a Moslem-Christian line. Tarek is in high school, making Super 8 movies with his friend, Omar. At first the war is a lark: school has closed, the violence is fascinating, getting from West to East is a game. His mother wants to leave; his father refuses. Tarek spends time with May, a Christian, orphaned and living in his building. By accident, Tarek goes to an infamous brothel in the war-torn Olive Quarter, meeting its legendary madam, Oum Walid. He then takes Omar and May there using her underwear as a white flag for safe passage. Family tensions rise. As he comes of age, the war moves inexorably from adventure to tragedy.",1998,tt0157183,7.6,4175.0
tm9898,Muthu,MOVIE,"A lavish Maharaja lived with his sister-in-law and stepbrother Rajasekhar, helping people incessantly. His sister-in-law has a son, to whom the Maharaja bequeaths a major portion of his property. At this juncture, a new baby is born to the Maharaja.His wife dies soon after. Brother Rajasekhar cheats the Maharaja as he fears that his son's property might be taken back and given to the Maharaja's own son. When the cheating comes to light, the Maharaja hands over all his property and his baby to his sister-in-law...",1995,tt0140399,7.6,3056.0
tm326102,Qila,MOVIE,"When an abusive landowner is murdered, his twin brother sets out to find the killer but quickly discovers that everyone, it seems, wanted him dead.",1998,tt0286907,4.8,129.0
tm12482,Ram Jaane,MOVIE,"A street hustler, who has spent several years in and out of prison, decides to reform his life, as he teaches street kids to stay away from crime, but has trouble maintaining these ideals in his own life.",1995,tt0114231,5.4,3901.0
tm128925,Chamatkar,MOVIE,"When Sunder loses everything, he seeks refuge in a graveyard, where he befriends a ghost.",1992,tt0126234,6.5,6199.0
tm52871,Soldier,MOVIE,The story follows a young man (Bobby Deol) who flees India and arrives in Australia seeking vengence for something that started in India. In Australia he meets and falls in love with the daughter of a rich and powerful man(Suresh Oberoi). The story keeps the covers on Bobby Deols plan until the end when everything is revealed as to why he is a SOLDIER.,1998,tt0211634,6.2,3025.0
tm62385,Hum Saath Saath Hain,MOVIE,"Ramkishen and his wife Mamta have three sons. Prem and Vinod have sweethearts in Preeti and Vivek marries Sangeeta. Since Vivek is Mamta's step-son, she plots to alienate him, but will she succeed?",1999,tt0216817,6.2,8454.0
tm184502,Kabhi Haan Kabhi Naa,MOVIE,"A man belongs to a middle-class family and is intent on pursuing his career with a music group, despite his dad's disapproval. He is also in love with the lead singer, but she sees him mainly as a friend.",1994,tt0110222,7.6,18224.0
tm7810,Nightmare in Columbia County,MOVIE,The recounting of a terrible crime that wracked a family and galvanized police in South Carolina in the 1980's. Southern beauty pageant winner Dawn Smith is targeted by a sadistic stalker whose obsession with her leads him to kidnap her younger sister.,1991,tt0102537,5.5,341.0
